id,page,page_key,category,viewport,severity,fix_type,issue,suggested_fix,net_url,com_url,com_status,net_height,com_height,height_delta_pct,visual_diff_pct,text_overlap_pct,net_screenshot,com_screenshot,status,owner,decision
post-an-open-letter-to-our-community-reflecting-on-our-journey-and-moving-forward-together-desktop,An Open Letter To Our Community Reflecting On Our Journey And Moving Forward Together,post-an-open-letter-to-our-community-reflecting-on-our-journey-and-moving-forward-together,Blog posts,desktop,Launch blocker,Codex can fix route,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,Add the mapped route or correct the slug mapping so this Wix page has a preview equivalent.,https://www.newafro.net/post/an-open-letter-to-our-community-reflecting-on-our-journey-and-moving-forward-together,https://preview.newafro.com/post/an-open-letter-to-our-community-reflecting-on-our-journey-and-moving-forward-together/,404,2935,1168,-60.2,8.5,11.9,../newafro-net/screenshots/post-an-open-letter-to-our-community-reflecting-on-our-journey-and-moving-forward-together-desktop.jpg,com-screenshots/post-an-open-letter-to-our-community-reflecting-on-our-journey-and-moving-forward-together-desktop.jpg,Open,,
post-an-open-letter-to-our-community-reflecting-on-our-journey-and-moving-forward-together-mobile,An Open Letter To Our Community Reflecting On Our Journey And Moving Forward Together,post-an-open-letter-to-our-community-reflecting-on-our-journey-and-moving-forward-together,Blog posts,mobile,Launch blocker,Codex can fix route,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,Add the mapped route or correct the slug mapping so this Wix page has a preview equivalent.,https://www.newafro.net/post/an-open-letter-to-our-community-reflecting-on-our-journey-and-moving-forward-together,https://preview.newafro.com/post/an-open-letter-to-our-community-reflecting-on-our-journey-and-moving-forward-together/,404,2814,1520,-46,13.3,11.9,../newafro-net/screenshots/post-an-open-letter-to-our-community-reflecting-on-our-journey-and-moving-forward-together-mobile.jpg,com-screenshots/post-an-open-letter-to-our-community-reflecting-on-our-journey-and-moving-forward-together-mobile.jpg,Open,,
post-benjamin-abana-new-afro-desktop,Benjamin Abana New Afro,post-benjamin-abana-new-afro,Blog posts,desktop,Launch blocker,Codex can fix route,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,Add the mapped route or correct the slug mapping so this Wix page has a preview equivalent.,https://www.newafro.net/post/benjamin-abana-new-afro,https://preview.newafro.com/post/benjamin-abana-new-afro/,404,4298,1168,-72.8,14.9,14.1,../newafro-net/screenshots/post-benjamin-abana-new-afro-desktop.jpg,com-screenshots/post-benjamin-abana-new-afro-desktop.jpg,Open,,
post-benjamin-abana-new-afro-mobile,Benjamin Abana New Afro,post-benjamin-abana-new-afro,Blog posts,mobile,Launch blocker,Codex can fix route,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,Add the mapped route or correct the slug mapping so this Wix page has a preview equivalent.,https://www.newafro.net/post/benjamin-abana-new-afro,https://preview.newafro.com/post/benjamin-abana-new-afro/,404,4178,1520,-63.6,38.6,14.1,../newafro-net/screenshots/post-benjamin-abana-new-afro-mobile.jpg,com-screenshots/post-benjamin-abana-new-afro-mobile.jpg,Open,,
post-i-love-my-solitude-but-i-m-meant-to-be-a-lover-desktop,I Love My Solitude But I M Meant To Be A Lover,post-i-love-my-solitude-but-i-m-meant-to-be-a-lover,Blog posts,desktop,Launch blocker,Codex can fix route,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,Add the mapped route or correct the slug mapping so this Wix page has a preview equivalent.,https://www.newafro.net/post/i-love-my-solitude-but-i-m-meant-to-be-a-lover,https://preview.newafro.com/post/i-love-my-solitude-but-i-m-meant-to-be-a-lover/,404,7429,1168,-84.3,6.8,9.5,../newafro-net/screenshots/post-i-love-my-solitude-but-i-m-meant-to-be-a-lover-desktop.jpg,com-screenshots/post-i-love-my-solitude-but-i-m-meant-to-be-a-lover-desktop.jpg,Open,,
post-i-love-my-solitude-but-i-m-meant-to-be-a-lover-mobile,I Love My Solitude But I M Meant To Be A Lover,post-i-love-my-solitude-but-i-m-meant-to-be-a-lover,Blog posts,mobile,Launch blocker,Codex can fix route,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,Add the mapped route or correct the slug mapping so this Wix page has a preview equivalent.,https://www.newafro.net/post/i-love-my-solitude-but-i-m-meant-to-be-a-lover,https://preview.newafro.com/post/i-love-my-solitude-but-i-m-meant-to-be-a-lover/,404,7300,1520,-79.2,23.2,9.5,../newafro-net/screenshots/post-i-love-my-solitude-but-i-m-meant-to-be-a-lover-mobile.jpg,com-screenshots/post-i-love-my-solitude-but-i-m-meant-to-be-a-lover-mobile.jpg,Open,,
post-inkredible-squad-interview-desktop,Inkredible Squad Interview,post-inkredible-squad-interview,Blog posts,desktop,Launch blocker,Codex can fix route,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,Add the mapped route or correct the slug mapping so this Wix page has a preview equivalent.,https://www.newafro.net/post/inkredible-squad-interview,https://preview.newafro.com/post/inkredible-squad-interview/,404,2322,1168,-49.7,7.4,4.6,../newafro-net/screenshots/post-inkredible-squad-interview-desktop.jpg,com-screenshots/post-inkredible-squad-interview-desktop.jpg,Open,,
post-inkredible-squad-interview-mobile,Inkredible Squad Interview,post-inkredible-squad-interview,Blog posts,mobile,Launch blocker,Codex can fix route,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,Add the mapped route or correct the slug mapping so this Wix page has a preview equivalent.,https://www.newafro.net/post/inkredible-squad-interview,https://preview.newafro.com/post/inkredible-squad-interview/,404,2379,1520,-36.1,12.5,4.6,../newafro-net/screenshots/post-inkredible-squad-interview-mobile.jpg,com-screenshots/post-inkredible-squad-interview-mobile.jpg,Open,,
post-intern-diary-desktop,Intern Diary,post-intern-diary,Blog posts,desktop,Launch blocker,Codex can fix route,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,Add the mapped route or correct the slug mapping so this Wix page has a preview equivalent.,https://www.newafro.net/post/intern-diary,https://preview.newafro.com/post/intern-diary/,404,7399,1168,-84.2,6.4,5.4,../newafro-net/screenshots/post-intern-diary-desktop.jpg,com-screenshots/post-intern-diary-desktop.jpg,Open,,
post-intern-diary-mobile,Intern Diary,post-intern-diary,Blog posts,mobile,Launch blocker,Codex can fix route,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,Add the mapped route or correct the slug mapping so this Wix page has a preview equivalent.,https://www.newafro.net/post/intern-diary,https://preview.newafro.com/post/intern-diary/,404,7279,1520,-79.1,15.5,5.4,../newafro-net/screenshots/post-intern-diary-mobile.jpg,com-screenshots/post-intern-diary-mobile.jpg,Open,,
post-la-teranga-en-couleur-exhibition-desktop,La Teranga En Couleur Exhibition,post-la-teranga-en-couleur-exhibition,Blog posts,desktop,Launch blocker,Codex can fix route,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,Add the mapped route or correct the slug mapping so this Wix page has a preview equivalent.,https://www.newafro.net/post/la-teranga-en-couleur-exhibition,https://preview.newafro.com/post/la-teranga-en-couleur-exhibition/,404,5974,1168,-80.4,8,6.6,../newafro-net/screenshots/post-la-teranga-en-couleur-exhibition-desktop.jpg,com-screenshots/post-la-teranga-en-couleur-exhibition-desktop.jpg,Open,,
post-la-teranga-en-couleur-exhibition-mobile,La Teranga En Couleur Exhibition,post-la-teranga-en-couleur-exhibition,Blog posts,mobile,Launch blocker,Codex can fix route,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,Add the mapped route or correct the slug mapping so this Wix page has a preview equivalent.,https://www.newafro.net/post/la-teranga-en-couleur-exhibition,https://preview.newafro.com/post/la-teranga-en-couleur-exhibition/,404,5846,1520,-74,18.9,6.6,../newafro-net/screenshots/post-la-teranga-en-couleur-exhibition-mobile.jpg,com-screenshots/post-la-teranga-en-couleur-exhibition-mobile.jpg,Open,,
post-mohamed-sayegh-an-influencer-desktop,Mohamed Sayegh An Influencer,post-mohamed-sayegh-an-influencer,Blog posts,desktop,Launch blocker,Codex can fix route,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,Add the mapped route or correct the slug mapping so this Wix page has a preview equivalent.,https://www.newafro.net/post/mohamed-sayegh-an-influencer,https://preview.newafro.com/post/mohamed-sayegh-an-influencer/,404,8547,1168,-86.3,7.3,5.7,../newafro-net/screenshots/post-mohamed-sayegh-an-influencer-desktop.jpg,com-screenshots/post-mohamed-sayegh-an-influencer-desktop.jpg,Open,,
post-mohamed-sayegh-an-influencer-mobile,Mohamed Sayegh An Influencer,post-mohamed-sayegh-an-influencer,Blog posts,mobile,Launch blocker,Codex can fix route,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,Add the mapped route or correct the slug mapping so this Wix page has a preview equivalent.,https://www.newafro.net/post/mohamed-sayegh-an-influencer,https://preview.newafro.com/post/mohamed-sayegh-an-influencer/,404,8427,1520,-82,11,5.7,../newafro-net/screenshots/post-mohamed-sayegh-an-influencer-mobile.jpg,com-screenshots/post-mohamed-sayegh-an-influencer-mobile.jpg,Open,,
post-naza-po-tozali-on-the-way-to-find-myself-the-exhibition-desktop,Naza Po Tozali On The Way To Find Myself The Exhibition,post-naza-po-tozali-on-the-way-to-find-myself-the-exhibition,Blog posts,desktop,Launch blocker,Codex can fix route,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,Add the mapped route or correct the slug mapping so this Wix page has a preview equivalent.,https://www.newafro.net/post/naza-po-tozali-on-the-way-to-find-myself-the-exhibition,https://preview.newafro.com/post/naza-po-tozali-on-the-way-to-find-myself-the-exhibition/,404,4036,1168,-71.1,19.7,7.8,../newafro-net/screenshots/post-naza-po-tozali-on-the-way-to-find-myself-the-exhibition-desktop.jpg,com-screenshots/post-naza-po-tozali-on-the-way-to-find-myself-the-exhibition-desktop.jpg,Open,,
post-naza-po-tozali-on-the-way-to-find-myself-the-exhibition-mobile,Naza Po Tozali On The Way To Find Myself The Exhibition,post-naza-po-tozali-on-the-way-to-find-myself-the-exhibition,Blog posts,mobile,Launch blocker,Codex can fix route,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,Add the mapped route or correct the slug mapping so this Wix page has a preview equivalent.,https://www.newafro.net/post/naza-po-tozali-on-the-way-to-find-myself-the-exhibition,https://preview.newafro.com/post/naza-po-tozali-on-the-way-to-find-myself-the-exhibition/,404,3908,1520,-61.1,17.5,7.8,../newafro-net/screenshots/post-naza-po-tozali-on-the-way-to-find-myself-the-exhibition-mobile.jpg,com-screenshots/post-naza-po-tozali-on-the-way-to-find-myself-the-exhibition-mobile.jpg,Open,,
post-new-afro-meets-fabregas-le-metis-noir-desktop,New Afro Meets Fabregas Le Metis Noir,post-new-afro-meets-fabregas-le-metis-noir,Blog posts,desktop,Launch blocker,Codex can fix route,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,Add the mapped route or correct the slug mapping so this Wix page has a preview equivalent.,https://www.newafro.net/post/new-afro-meets-fabregas-le-metis-noir,https://preview.newafro.com/post/new-afro-meets-fabregas-le-metis-noir/,404,2013,1168,-42,7.8,7.5,../newafro-net/screenshots/post-new-afro-meets-fabregas-le-metis-noir-desktop.jpg,com-screenshots/post-new-afro-meets-fabregas-le-metis-noir-desktop.jpg,Open,,
post-new-afro-meets-fabregas-le-metis-noir-mobile,New Afro Meets Fabregas Le Metis Noir,post-new-afro-meets-fabregas-le-metis-noir,Blog posts,mobile,Launch blocker,Codex can fix route,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,Add the mapped route or correct the slug mapping so this Wix page has a preview equivalent.,https://www.newafro.net/post/new-afro-meets-fabregas-le-metis-noir,https://preview.newafro.com/post/new-afro-meets-fabregas-le-metis-noir/,404,2379,1520,-36.1,11.1,7.5,../newafro-net/screenshots/post-new-afro-meets-fabregas-le-metis-noir-mobile.jpg,com-screenshots/post-new-afro-meets-fabregas-le-metis-noir-mobile.jpg,Open,,
post-new-afro-showroom-in-abidjan-ivory-coast-desktop,New Afro Showroom In Abidjan Ivory Coast,post-new-afro-showroom-in-abidjan-ivory-coast,Blog posts,desktop,Launch blocker,Codex can fix route,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,Add the mapped route or correct the slug mapping so this Wix page has a preview equivalent.,https://www.newafro.net/post/new-afro-showroom-in-abidjan-ivory-coast,https://preview.newafro.com/post/new-afro-showroom-in-abidjan-ivory-coast/,404,7612,1168,-84.7,24,6.7,../newafro-net/screenshots/post-new-afro-showroom-in-abidjan-ivory-coast-desktop.jpg,com-screenshots/post-new-afro-showroom-in-abidjan-ivory-coast-desktop.jpg,Open,,
post-new-afro-showroom-in-abidjan-ivory-coast-mobile,New Afro Showroom In Abidjan Ivory Coast,post-new-afro-showroom-in-abidjan-ivory-coast,Blog posts,mobile,Launch blocker,Codex can fix route,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,Add the mapped route or correct the slug mapping so this Wix page has a preview equivalent.,https://www.newafro.net/post/new-afro-showroom-in-abidjan-ivory-coast,https://preview.newafro.com/post/new-afro-showroom-in-abidjan-ivory-coast/,404,7467,1520,-79.6,25.8,6.7,../newafro-net/screenshots/post-new-afro-showroom-in-abidjan-ivory-coast-mobile.jpg,com-screenshots/post-new-afro-showroom-in-abidjan-ivory-coast-mobile.jpg,Open,,
post-new-afro-the-creative-vision-desktop,New Afro The Creative Vision,post-new-afro-the-creative-vision,Blog posts,desktop,Launch blocker,Codex can fix route,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,Add the mapped route or correct the slug mapping so this Wix page has a preview equivalent.,https://www.newafro.net/post/new-afro-the-creative-vision,https://preview.newafro.com/post/new-afro-the-creative-vision/,404,12761,1168,-90.8,8,6.5,../newafro-net/screenshots/post-new-afro-the-creative-vision-desktop.jpg,com-screenshots/post-new-afro-the-creative-vision-desktop.jpg,Open,,
post-new-afro-the-creative-vision-mobile,New Afro The Creative Vision,post-new-afro-the-creative-vision,Blog posts,mobile,Launch blocker,Codex can fix route,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,Add the mapped route or correct the slug mapping so this Wix page has a preview equivalent.,https://www.newafro.net/post/new-afro-the-creative-vision,https://preview.newafro.com/post/new-afro-the-creative-vision/,404,12927,1520,-88.2,12.5,6.5,../newafro-net/screenshots/post-new-afro-the-creative-vision-mobile.jpg,com-screenshots/post-new-afro-the-creative-vision-mobile.jpg,Open,,
post-newafro-desktop,Newafro,post-newafro,Blog posts,desktop,Launch blocker,Codex can fix route,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,Add the mapped route or correct the slug mapping so this Wix page has a preview equivalent.,https://www.newafro.net/post/newafro,https://preview.newafro.com/post/newafro/,404,4501,1168,-74.1,4.6,5,../newafro-net/screenshots/post-newafro-desktop.jpg,com-screenshots/post-newafro-desktop.jpg,Open,,
post-newafro-mobile,Newafro,post-newafro,Blog posts,mobile,Launch blocker,Codex can fix route,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,Add the mapped route or correct the slug mapping so this Wix page has a preview equivalent.,https://www.newafro.net/post/newafro,https://preview.newafro.com/post/newafro/,404,4372,1520,-65.2,10.5,5,../newafro-net/screenshots/post-newafro-mobile.jpg,com-screenshots/post-newafro-mobile.jpg,Open,,
post-rencontre-exhibition-fun-and-live-painting-in-mainz-desktop,Rencontre Exhibition Fun And Live Painting In Mainz,post-rencontre-exhibition-fun-and-live-painting-in-mainz,Blog posts,desktop,Launch blocker,Codex can fix route,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,Add the mapped route or correct the slug mapping so this Wix page has a preview equivalent.,https://www.newafro.net/post/rencontre-exhibition-fun-and-live-painting-in-mainz,https://preview.newafro.com/post/rencontre-exhibition-fun-and-live-painting-in-mainz/,404,7322,1168,-84,12.4,7.7,../newafro-net/screenshots/post-rencontre-exhibition-fun-and-live-painting-in-mainz-desktop.jpg,com-screenshots/post-rencontre-exhibition-fun-and-live-painting-in-mainz-desktop.jpg,Open,,
post-rencontre-exhibition-fun-and-live-painting-in-mainz-mobile,Rencontre Exhibition Fun And Live Painting In Mainz,post-rencontre-exhibition-fun-and-live-painting-in-mainz,Blog posts,mobile,Launch blocker,Codex can fix route,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,Add the mapped route or correct the slug mapping so this Wix page has a preview equivalent.,https://www.newafro.net/post/rencontre-exhibition-fun-and-live-painting-in-mainz,https://preview.newafro.com/post/rencontre-exhibition-fun-and-live-painting-in-mainz/,404,7194,1520,-78.9,22.4,7.7,../newafro-net/screenshots/post-rencontre-exhibition-fun-and-live-painting-in-mainz-mobile.jpg,com-screenshots/post-rencontre-exhibition-fun-and-live-painting-in-mainz-mobile.jpg,Open,,
event-details-registration-restitution-et-apres-restitution-und-dann-2-desktop,Restitution Et Apres Restitution Und Dann 2,event-details-registration-restitution-et-apres-restitution-und-dann-2,Event pages,desktop,Launch blocker,Codex can fix route,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,Add the mapped route or correct the slug mapping so this Wix page has a preview equivalent.,https://www.newafro.net/event-details-registration/restitution-et-apres-restitution-und-dann-2,https://preview.newafro.com/event-details-registration/restitution-et-apres-restitution-und-dann-2/,404,2421,1168,-51.8,35.5,5.1,../newafro-net/screenshots/event-details-registration-restitution-et-apres-restitution-und-dann-2-desktop.jpg,com-screenshots/event-details-registration-restitution-et-apres-restitution-und-dann-2-desktop.jpg,Open,,
event-details-registration-restitution-et-apres-restitution-und-dann-2-mobile,Restitution Et Apres Restitution Und Dann 2,event-details-registration-restitution-et-apres-restitution-und-dann-2,Event pages,mobile,Launch blocker,Codex can fix route,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,Add the mapped route or correct the slug mapping so this Wix page has a preview equivalent.,https://www.newafro.net/event-details-registration/restitution-et-apres-restitution-und-dann-2,https://preview.newafro.com/event-details-registration/restitution-et-apres-restitution-und-dann-2/,404,2421,1520,-37.2,31.6,5.1,../newafro-net/screenshots/event-details-registration-restitution-et-apres-restitution-und-dann-2-mobile.jpg,com-screenshots/event-details-registration-restitution-et-apres-restitution-und-dann-2-mobile.jpg,Open,,
